word,r,g,b
A,113,221,120
B,53,191,116
C,181,61,238
D,84,179,60
E,22,64,85
F,31,208,249
G,68,238,98
H,239,217,198
I,141,120,127
J,83,16,40
K,103,91,143
L,113,58,208
M,231,168,70
N,111,205,191
O,208,133,25
P,213,129,25
Q,189,146,211
R,234,17,9
S,33,208,112
T,68,84,142
U,68,191,157
V,74,108,121
W,45,20,48
X,37,55,236
Y,165,252,152
Z,20,108,41
method,231,168,70
notice,111,205,191
whole,45,20,48
price,213,129,25
cow,181,61,238
felt,31,208,249
cell,181,61,238
gave,68,238,98
public,213,129,25
party,213,129,25
needs,111,205,191
length,113,58,208
group,68,238,98
tool,68,84,142
crowd,181,61,238
left,113,58,208
only,208,133,25
tiny,68,84,142
tank,68,84,142
pay,213,129,25
wool,45,20,48
ready,234,17,9
easier,22,64,85
tired,68,84,142
laugh,113,58,208
soft,33,208,112
golden,68,238,98
came,181,61,238
sale,33,208,112
field,31,208,249
stairs,33,208,112
cave,181,61,238
being,53,191,116
base,53,191,116
ever,22,64,85
weigh,45,20,48
worth,45,20,48
cent,181,61,238
settle,33,208,112
cheese,181,61,238
fed,31,208,249
human,239,217,198
memory,231,168,70
win,45,20,48
class,181,61,238
chance,181,61,238
far,31,208,249
steam,33,208,112
deep,84,179,60
pencil,213,129,25
farmer,31,208,249
coast,181,61,238
red,234,17,9
herd,239,217,198
cannot,181,61,238
full,31,208,249
wall,45,20,48
help,239,217,198
local,113,58,208
lungs,113,58,208
wooden,45,20,48
tape,68,84,142
police,213,129,25
back,53,191,116
place,213,129,25
lay,113,58,208
dear,84,179,60
hat,239,217,198
pig,213,129,25
desk,84,179,60
anyway,113,221,120
pocket,213,129,25
lie,113,58,208
harbor,239,217,198
we,45,20,48
barn,53,191,116
leader,113,58,208
choose,181,61,238
gold,68,238,98
slowly,33,208,112
giant,68,238,98
volume,74,108,121
smooth,33,208,112
image,141,120,127
point,213,129,25
system,33,208,112
skill,33,208,112
exist,22,64,85
art,113,221,120
thy,68,84,142
sheet,33,208,112
spell,33,208,112
next,111,205,191
both,53,191,116
join,83,16,40
fast,31,208,249
zipper,20,108,41
summer,33,208,112
hill,239,217,198
were,45,20,48
swing,33,208,112
ahead,113,221,120
tube,68,84,142
whale,45,20,48
verb,74,108,121
salt,33,208,112
pull,213,129,25
folks,31,208,249
busy,53,191,116
put,213,129,25
ill,141,120,127
flat,31,208,249
root,234,17,9
doubt,84,179,60
atom,113,221,120
sight,33,208,112
poem,213,129,25
blue,53,191,116
funny,31,208,249
trail,68,84,142
card,181,61,238
hungry,239,217,198
valley,74,108,121
mental,231,168,70
expect,22,64,85
strip,33,208,112
nest,111,205,191
ten,68,84,142
able,113,221,120
father,31,208,249
list,113,58,208
dirt,84,179,60
pan,213,129,25
say,33,208,112
fog,31,208,249
dawn,84,179,60
die,84,179,60
kill,103,91,143
chain,181,61,238
water,45,20,48
enemy,22,64,85
seeing,33,208,112
find,31,208,249
almost,113,221,120
radio,234,17,9
event,22,64,85
where,45,20,48
middle,231,168,70
lack,113,58,208
be,53,191,116
stone,33,208,112
thing,68,84,142
ants,113,221,120
tears,68,84,142
park,213,129,25
five,31,208,249
pony,213,129,25
quick,189,146,211
sent,33,208,112
arrow,113,221,120
among,113,221,120
job,83,16,40
gate,68,238,98
threw,68,84,142
look,113,58,208
won,45,20,48
pour,213,129,25
car,181,61,238
proper,213,129,25
throat,68,84,142
prize,213,129,25
ate,113,221,120
active,113,221,120
port,213,129,25
peace,213,129,25
seems,33,208,112
rate,234,17,9
oxygen,208,133,25
meet,231,168,70
army,113,221,120
nor,111,205,191
battle,53,191,116
brass,53,191,116
teach,68,84,142
depend,84,179,60
degree,84,179,60
or,208,133,25
this,68,84,142
might,231,168,70
growth,68,238,98
wolf,45,20,48
cloth,181,61,238
recall,234,17,9
speech,33,208,112
pain,213,129,25
except,22,64,85
alike,113,221,120
clear,181,61,238
mood,231,168,70
cut,181,61,238
plan,213,129,25
tea,68,84,142
voyage,74,108,121
badly,53,191,116
fruit,31,208,249
coach,181,61,238
rod,234,17,9
mass,231,168,70
proud,213,129,25
but,53,191,116
supper,33,208,112
tail,68,84,142
stems,33,208,112
trace,68,84,142
her,239,217,198
mine,231,168,70
carry,181,61,238
riding,234,17,9
select,33,208,112
time,68,84,142
suit,33,208,112
dig,84,179,60
fine,31,208,249
strike,33,208,112
across,113,221,120
year,165,252,152
result,234,17,9
hunt,239,217,198
did,84,179,60
bill,53,191,116
moon,231,168,70
how,239,217,198
light,113,58,208
forty,31,208,249
else,22,64,85
lucky,113,58,208
dug,84,179,60
along,113,221,120
drove,84,179,60
whom,45,20,48
sat,33,208,112
taste,68,84,142
bend,53,191,116
kids,103,91,143
play,213,129,25
away,113,221,120
egg,22,64,85
sharp,33,208,112
slave,33,208,112
speak,33,208,112
asleep,113,221,120
rocket,234,17,9
north,111,205,191
lead,113,58,208
shout,33,208,112
firm,31,208,249
way,45,20,48
alive,113,221,120
push,213,129,25
spirit,33,208,112
land,113,58,208
state,33,208,112
happy,239,217,198
lady,113,58,208
map,231,168,70
jar,83,16,40
stand,33,208,112
former,31,208,249
simply,33,208,112
piano,213,129,25
work,45,20,48
duty,84,179,60
indeed,141,120,127
facing,31,208,249
them,68,84,142
spin,33,208,112
shadow,33,208,112
report,234,17,9
talk,68,84,142
stared,33,208,112
second,33,208,112
dance,84,179,60
aware,113,221,120
very,74,108,121
boat,53,191,116
him,239,217,198
thee,68,84,142
idea,141,120,127
more,231,168,70
height,239,217,198
given,68,238,98
single,33,208,112
magnet,231,168,70
social,33,208,112
earn,22,64,85
slept,33,208,112
joy,83,16,40
follow,31,208,249
ruler,234,17,9
purple,213,129,25
driven,84,179,60
chart,181,61,238
huge,239,217,198
scared,33,208,112
coffee,181,61,238
tall,68,84,142
phrase,213,129,25
plenty,213,129,25
fully,31,208,249
create,181,61,238
zero,20,108,41
are,113,221,120
pilot,213,129,25
pitch,213,129,25
apart,113,221,120
mile,231,168,70
aloud,113,221,120
direct,84,179,60
speed,33,208,112
oldest,208,133,25
dot,84,179,60
said,33,208,112
hold,239,217,198
wire,45,20,48
melted,231,168,70
order,208,133,25
deal,84,179,60
shut,33,208,112
bone,53,191,116
horse,239,217,198
office,208,133,25
camp,181,61,238
simple,33,208,112
now,111,205,191
turn,68,84,142
twelve,68,84,142
plural,213,129,25
copy,181,61,238
meal,231,168,70
fort,31,208,249
grown,68,238,98
carbon,181,61,238
many,231,168,70
series,33,208,112
circus,181,61,238
stuck,33,208,112
below,53,191,116
metal,231,168,70
entire,22,64,85
dozen,84,179,60
crew,181,61,238
laid,113,58,208
straw,33,208,112
glass,68,238,98
thank,68,84,142
led,113,58,208
cage,181,61,238
milk,231,168,70
for,31,208,249
shore,33,208,112
vapor,74,108,121
shells,33,208,112
pound,213,129,25
save,33,208,112
driver,84,179,60
mark,231,168,70
drew,84,179,60
never,111,205,191
live,113,58,208
offer,208,133,25
upper,68,191,157
sense,33,208,112
needed,111,205,191
thrown,68,84,142
rocky,234,17,9
flag,31,208,249
thumb,68,84,142
vote,74,108,121
with,45,20,48
smile,33,208,112
small,33,208,112
please,213,129,25
down,84,179,60
swung,33,208,112
loose,113,58,208
think,68,84,142
four,31,208,249
know,103,91,143
lamp,113,58,208
pen,213,129,25
closer,181,61,238
lost,113,58,208
word,45,20,48
nice,111,205,191
rear,234,17,9
women,45,20,48
sort,33,208,112
note,111,205,191
from,31,208,249
tell,68,84,142
care,181,61,238
tide,68,84,142
top,68,84,142
living,113,58,208
allow,113,221,120
own,208,133,25
little,113,58,208
silent,33,208,112
silk,33,208,112
knife,103,91,143
forgot,31,208,249
supply,33,208,112
town,68,84,142
walk,45,20,48
one,208,133,25
church,181,61,238
sing,33,208,112
nature,111,205,191
union,68,191,157
throw,68,84,142
honor,239,217,198
night,111,205,191
near,111,205,191
case,181,61,238
rhythm,234,17,9
aside,113,221,120
south,33,208,112
stove,33,208,112
longer,113,58,208
neck,111,205,191
using,68,191,157
wife,45,20,48
horn,239,217,198
exact,22,64,85
brown,53,191,116
during,84,179,60
prove,213,129,25
enough,22,64,85
life,113,58,208
take,68,84,142
afraid,113,221,120
tried,68,84,142
smell,33,208,112
fact,31,208,249
voice,74,108,121
sheep,33,208,112
fun,31,208,249
guard,68,238,98
new,111,205,191
skin,33,208,112
path,213,129,25
chosen,181,61,238
brief,53,191,116
hard,239,217,198
bent,53,191,116
kept,103,91,143
keep,103,91,143
took,68,84,142
breath,53,191,116
watch,45,20,48
in,141,120,127
trip,68,84,142
half,239,217,198
wash,45,20,48
third,68,84,142
engine,22,64,85
his,239,217,198
moment,231,168,70
claws,181,61,238
table,68,84,142
low,113,58,208
drive,84,179,60
copper,181,61,238
green,68,238,98
charge,181,61,238
use,68,191,157
means,231,168,70
girl,68,238,98
climb,181,61,238
will,45,20,48
blew,53,191,116
split,33,208,112
corn,181,61,238
call,181,61,238
poet,213,129,25
major,231,168,70
body,53,191,116
bark,53,191,116
before,53,191,116
face,31,208,249
symbol,33,208,112
string,33,208,112
saved,33,208,112
region,234,17,9
mouth,231,168,70
harder,239,217,198
shown,33,208,112
some,33,208,112
sold,33,208,112
every,22,64,85
labor,113,58,208
teeth,68,84,142
world,45,20,48
part,213,129,25
post,213,129,25
old,208,133,25
built,53,191,116
hope,239,217,198
liquid,113,58,208
agree,113,221,120
gather,68,238,98
taken,68,84,142
ago,113,221,120
torn,68,84,142
branch,53,191,116
west,45,20,48
spent,33,208,112
ought,208,133,25
period,213,129,25
attack,113,221,120
anyone,113,221,120
day,84,179,60
coal,181,61,238
fall,31,208,249
farm,31,208,249
store,33,208,112
no,111,205,191
unless,68,191,157
law,113,58,208
quite,189,146,211
beat,53,191,116
bread,53,191,116
pond,213,129,25
cook,181,61,238
air,113,221,120
shall,33,208,112
rubber,234,17,9
tin,68,84,142
iron,141,120,127
rose,234,17,9
heavy,239,217,198
dried,84,179,60
enter,22,64,85
loss,113,58,208
pair,213,129,25
us,68,191,157
rush,234,17,9
few,31,208,249
sky,33,208,112
fear,31,208,249
fur,31,208,249
obtain,208,133,25
slide,33,208,112
remain,234,17,9
square,33,208,112
rope,234,17,9
desert,84,179,60
pack,213,129,25
swim,33,208,112
check,181,61,238
piece,213,129,25
until,68,191,157
hardly,239,217,198
choice,181,61,238
wheat,45,20,48
judge,83,16,40
lips,113,58,208
sum,33,208,112
still,33,208,112
over,208,133,25
cream,181,61,238
seat,33,208,112
bat,53,191,116
hurt,239,217,198
till,68,84,142
feet,31,208,249
answer,113,221,120
moving,231,168,70
fought,31,208,249
jack,83,16,40
wear,45,20,48
paint,213,129,25
easily,22,64,85
queen,189,146,211
roar,234,17,9
dark,84,179,60
canal,181,61,238
locate,113,58,208
wheel,45,20,48
fewer,31,208,249
adult,113,221,120
energy,22,64,85
value,74,108,121
mice,231,168,70
there,68,84,142
these,68,84,142
noun,111,205,191
flower,31,208,249
month,231,168,70
door,84,179,60
recent,234,17,9
bean,53,191,116
